Lugar de condena;Tipo de Delito;Periodo;
10 Comunitat Valenciana;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2018;1.747
10 Comunitat Valenciana;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2017;1.666
10 Comunitat Valenciana;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2016;1.543
10 Comunitat Valenciana;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2015;1.358
10 Comunitat Valenciana;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2014;1.351
10 Comunitat Valenciana;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2013;1.312
10 Comunitat Valenciana;22.2.1 Atentados contra la autoridad;2019;946
10 Comunitat Valenciana;22.2.1 Atentados contra la autoridad;2018;856
10 Comunitat Valenciana;22.2.1 Atentados contra la autoridad;2017;871
10 Comunitat Valenciana;22.2.1 Atentados contra la autoridad;2016;765
10 Comunitat Valenciana;22.2.1 Atentados contra la autoridad;2015;718
10 Comunitat Valenciana;22.2.1 Atentados contra la autoridad;2014;724
10 Comunitat Valenciana;22.2.1 Atentados contra la autoridad;2013;706
10 Comunitat Valenciana;22.2.2 Resistencia y desobediencia;2019;840
10 Comunitat Valenciana;22.2.2 Resistencia y desobediencia;2018;891
10 Comunitat Valenciana;22.2.2 Resistencia y desobediencia;2017;795
10 Comunitat Valenciana;22.2.2 Resistencia y desobediencia;2016;778
10 Comunitat Valenciana;22.2.2 Resistencia y desobediencia;2015;640
10 Comunitat Valenciana;22.2.2 Resistencia y desobediencia;2014;627
10 Comunitat Valenciana;22.2.2 Resistencia y desobediencia;2013;606
10 Comunitat Valenciana;22.99 Otros delitos contra el orden público;2019;287
10 Comunitat Valenciana;22.99 Otros delitos contra el orden público;2018;300
10 Comunitat Valenciana;22.99 Otros delitos contra el orden público;2017;206
10 Comunitat Valenciana;22.99 Otros delitos contra el orden público;2016;136
10 Comunitat Valenciana;22.99 Otros delitos contra el orden público;2015;226
10 Comunitat Valenciana;22.99 Otros delitos contra el orden público;2014;166
10 Comunitat Valenciana;22.99 Otros delitos contra el orden público;2013;139
10 Comunitat Valenciana;R Resto de delitos;2019;702
10 Comunitat Valenciana;R Resto de delitos;2018;786
10 Comunitat Valenciana;R Resto de delitos;2017;732
10 Comunitat Valenciana;R Resto de delitos;2016;673
10 Comunitat Valenciana;R Resto de delitos;2015;534
10 Comunitat Valenciana;R Resto de delitos;2014;484
10 Comunitat Valenciana;R Resto de delitos;2013;317
11 Extremadura;A Total Delitos;2019;7.014
11 Extremadura;A Total Delitos;2018;7.261
11 Extremadura;A Total Delitos;2017;7.590
11 Extremadura;A Total Delitos;2016;7.659
11 Extremadura;A Total Delitos;2015;7.000
11 Extremadura;A Total Delitos;2014;6.392
11 Extremadura;A Total Delitos;2013;6.213
11 Extremadura;1 Homicidio y sus formas;2019;20
11 Extremadura;1 Homicidio y sus formas;2018;26
11 Extremadura;1 Homicidio y sus formas;2017;23
11 Extremadura;1 Homicidio y sus formas;2016;21
11 Extremadura;1 Homicidio y sus formas;2015;27
11 Extremadura;1 Homicidio y sus formas;2014;20
11 Extremadura;1 Homicidio y sus formas;2013;32
11 Extremadura;1.1 Homicidio;2019;5
11 Extremadura;1.1 Homicidio;2018;16
11 Extremadura;1.1 Homicidio;2017;3
11 Extremadura;1.1 Homicidio;2016;3
11 Extremadura;1.1 Homicidio;2015;11
11 Extremadura;1.1 Homicidio;2014;3
11 Extremadura;1.1 Homicidio;2013;17
11 Extremadura;1.2 Asesinato;2019;2
11 Extremadura;1.2 Asesinato;2018;2
11 Extremadura;1.2 Asesinato;2017;0
11 Extremadura;1.2 Asesinato;2016;4
11 Extremadura;1.2 Asesinato;2015;2
11 Extremadura;1.2 Asesinato;2014;0
11 Extremadura;1.2 Asesinato;2013;5
11 Extremadura;1.3 Homicidio por imprudencia;2019;13
11 Extremadura;1.3 Homicidio por imprudencia;2018;8
11 Extremadura;1.3 Homicidio por imprudencia;2017;20
11 Extremadura;1.3 Homicidio por imprudencia;2016;14
11 Extremadura;1.3 Homicidio por imprudencia;2015;14
11 Extremadura;1.3 Homicidio por imprudencia;2014;17
11 Extremadura;1.3 Homicidio por imprudencia;2013;10
11 Extremadura;1.4 Inducción al suicidio;2019;0
11 Extremadura;1.4 Inducción al suicidio;2018;0
11 Extremadura;1.4 Inducción al suicidio;2017;0
11 Extremadura;1.4 Inducción al suicidio;2016;0
11 Extremadura;1.4 Inducción al suicidio;2015;""
11 Extremadura;1.4 Inducción al suicidio;2014;""
11 Extremadura;1.4 Inducción al suicidio;2013;0
11 Extremadura;3 Lesiones;2019;1.264
11 Extremadura;3 Lesiones;2018;1.392
11 Extremadura;3 Lesiones;2017;1.420
11 Extremadura;3 Lesiones;2016;1.394
11 Extremadura;3 Lesiones;2015;1.039
11 Extremadura;3 Lesiones;2014;927
11 Extremadura;3 Lesiones;2013;983
11 Extremadura;6 Contra la libertad;2019;729
11 Extremadura;6 Contra la libertad;2018;681
11 Extremadura;6 Contra la libertad;2017;674
11 Extremadura;6 Contra la libertad;2016;585
11 Extremadura;6 Contra la libertad;2015;392
11 Extremadura;6 Contra la libertad;2014;350
11 Extremadura;6 Contra la libertad;2013;382
11 Extremadura;6.2 Amenazas;2019;570
11 Extremadura;6.2 Amenazas;2018;536
11 Extremadura;6.2 Amenazas;2017;528
11 Extremadura;6.2 Amenazas;2016;468
11 Extremadura;6.2 Amenazas;2015;305
11 Extremadura;6.2 Amenazas;2014;281
11 Extremadura;6.2 Amenazas;2013;289
11 Extremadura;6.9 Coacciones y detenciones ilegales;2019;159
11 Extremadura;6.9 Coacciones y detenciones ilegales;2018;145
11 Extremadura;6.9 Coacciones y detenciones ilegales;2017;146
11 Extremadura;6.9 Coacciones y detenciones ilegales;2016;117
11 Extremadura;6.9 Coacciones y detenciones ilegales;2015;87
11 Extremadura;6.9 Coacciones y detenciones ilegales;2014;69
11 Extremadura;6.9 Coacciones y detenciones ilegales;2013;93
11 Extremadura;7 Torturas e integridad moral;2019;218
11 Extremadura;7 Torturas e integridad moral;2018;201
11 Extremadura;7 Torturas e integridad moral;2017;213
11 Extremadura;7 Torturas e integridad moral;2016;174
11 Extremadura;7 Torturas e integridad moral;2015;127
11 Extremadura;7 Torturas e integridad moral;2014;68
11 Extremadura;7 Torturas e integridad moral;2013;105
11 Extremadura;7.1 Trato degradante y violencia;2019;218
11 Extremadura;7.1 Trato degradante y violencia;2018;198
11 Extremadura;7.1 Trato degradante y violencia;2017;212
11 Extremadura;7.1 Trato degradante y violencia;2016;174
11 Extremadura;7.1 Trato degradante y violencia;2015;124
11 Extremadura;7.1 Trato degradante y violencia;2014;61
11 Extremadura;7.1 Trato degradante y violencia;2013;105
11 Extremadura;7.2 Tortura;2019;0
11 Extremadura;7.2 Tortura;2018;3
11 Extremadura;7.2 Tortura;2017;0
11 Extremadura;7.2 Tortura;2016;0
11 Extremadura;7.2 Tortura;2015;3
11 Extremadura;7.2 Tortura;2014;6
11 Extremadura;7.2 Tortura;2013;0
11 Extremadura;7.3 Otros;2019;0
11 Extremadura;7.3 Otros;2018;0
11 Extremadura;7.3 Otros;2017;1
11 Extremadura;7.3 Otros;2016;0
11 Extremadura;7.3 Otros;2015;0
11 Extremadura;7.3 Otros;2014;1
11 Extremadura;7.3 Otros;2013;0
11 Extremadura;8 Contra la libertad e indemnidad sexuales;2019;67
11 Extremadura;8 Contra la libertad e indemnidad sexuales;2018;53
11 Extremadura;8 Contra la libertad e indemnidad sexuales;2017;58
11 Extremadura;8 Contra la libertad e indemnidad sexuales;2016;55
11 Extremadura;8 Contra la libertad e indemnidad sexuales;2015;82
11 Extremadura;8 Contra la libertad e indemnidad sexuales;2014;56
11 Extremadura;8 Contra la libertad e indemnidad sexuales;2013;69
11 Extremadura;12 Contra las relaciones familiares;2019;138
11 Extremadura;12 Contra las relaciones familiares;2018;154
11 Extremadura;12 Contra las relaciones familiares;2017;179
11 Extremadura;12 Contra las relaciones familiares;2016;231
11 Extremadura;12 Contra las relaciones familiares;2015;256
11 Extremadura;12 Contra las relaciones familiares;2014;232
11 Extremadura;12 Contra las relaciones familiares;2013;177
11 Extremadura;12.3 Contra los derechos y deberes familiares;2019;138
11 Extremadura;12.3 Contra los derechos y deberes familiares;2018;153
11 Extremadura;12.3 Contra los derechos y deberes familiares;2017;179
11 Extremadura;12.3 Contra los derechos y deberes familiares;2016;231
11 Extremadura;12.3 Contra los derechos y deberes familiares;2015;256
11 Extremadura;12.3 Contra los derechos y deberes familiares;2014;232
11 Extremadura;12.3 Contra los derechos y deberes familiares;2013;177
11 Extremadura;12.3.1 Quebrantamiento de los deberes de custodia;2019;2
11 Extremadura;12.3.1 Quebrantamiento de los deberes de custodia;2018;2
11 Extremadura;12.3.1 Quebrantamiento de los deberes de custodia;2017;4
11 Extremadura;12.3.1 Quebrantamiento de los deberes de custodia;2016;10
11 Extremadura;12.3.1 Quebrantamiento de los deberes de custodia;2015;20
11 Extremadura;12.3.1 Quebrantamiento de los deberes de custodia;2014;6
11 Extremadura;12.3.1 Quebrantamiento de los deberes de custodia;2013;0
11 Extremadura;12.3.2 Sustracción de menores;2019;0
11 Extremadura;12.3.2 Sustracción de menores;2018;0
11 Extremadura;12.3.2 Sustracción de menores;2017;1
11 Extremadura;12.3.2 Sustracción de menores;2016;1
11 Extremadura;12.3.2 Sustracción de menores;2015;1
11 Extremadura;12.3.2 Sustracción de menores;2014;0
11 Extremadura;12.3.2 Sustracción de menores;2013;0
11 Extremadura;12.3.3 Abandono de familia;2019;136
11 Extremadura;12.3.3 Abandono de familia;2018;151
11 Extremadura;12.3.3 Abandono de familia;2017;174
11 Extremadura;12.3.3 Abandono de familia;2016;220
11 Extremadura;12.3.3 Abandono de familia;2015;235
11 Extremadura;12.3.3 Abandono de familia;2014;226
11 Extremadura;12.3.3 Abandono de familia;2013;177
11 Extremadura;12.99 Otros delitos contra las relaciones familiares;2019;0
11 Extremadura;12.99 Otros delitos contra las relaciones familiares;2018;1
11 Extremadura;12.99 Otros delitos contra las relaciones familiares;2017;0
11 Extremadura;12.99 Otros delitos contra las relaciones familiares;2016;0
11 Extremadura;12.99 Otros delitos contra las relaciones familiares;2015;0
11 Extremadura;12.99 Otros delitos contra las relaciones familiares;2014;0
11 Extremadura;12.99 Otros delitos contra las relaciones familiares;2013;0
11 Extremadura;13 Contra el patrimonio y el orden socioeconómico;2019;2.047
11 Extremadura;13 Contra el patrimonio y el orden socioeconómico;2018;2.251
11 Extremadura;13 Contra el patrimonio y el orden socioeconómico;2017;2.417
11 Extremadura;13 Contra el patrimonio y el orden socioeconómico;2016;2.459
11 Extremadura;13 Contra el patrimonio y el orden socioeconómico;2015;1.892
11 Extremadura;13 Contra el patrimonio y el orden socioeconómico;2014;1.549
11 Extremadura;13 Contra el patrimonio y el orden socioeconómico;2013;1.369
11 Extremadura;13.1 Hurtos;2019;833
11 Extremadura;13.1 Hurtos;2018;940
11 Extremadura;13.1 Hurtos;2017;954
11 Extremadura;13.1 Hurtos;2016;1.019
11 Extremadura;13.1 Hurtos;2015;454
11 Extremadura;13.1 Hurtos;2014;267
11 Extremadura;13.1 Hurtos;2013;244
11 Extremadura;13.2 Robos;2019;370
11 Extremadura;13.2 Robos;2018;428
11 Extremadura;13.2 Robos;2017;575
11 Extremadura;13.2 Robos;2016;561
11 Extremadura;13.2 Robos;2015;750
11 Extremadura;13.2 Robos;2014;727
11 Extremadura;13.2 Robos;2013;700
11 Extremadura;13.2.1 Robo con violencia;2019;83
11 Extremadura;13.2.1 Robo con violencia;2018;80
11 Extremadura;13.2.1 Robo con violencia;2017;126
11 Extremadura;13.2.1 Robo con violencia;2016;78
11 Extremadura;13.2.1 Robo con violencia;2015;126
11 Extremadura;13.2.1 Robo con violencia;2014;139
11 Extremadura;13.2.1 Robo con violencia;2013;148
11 Extremadura;13.2.2 Robo con fuerza;2019;287
11 Extremadura;13.2.2 Robo con fuerza;2018;348
11 Extremadura;13.2.2 Robo con fuerza;2017;449
11 Extremadura;13.2.2 Robo con fuerza;2016;483
11 Extremadura;13.2.2 Robo con fuerza;2015;624
11 Extremadura;13.2.2 Robo con fuerza;2014;588
11 Extremadura;13.2.2 Robo con fuerza;2013;552
11 Extremadura;13.4 Robo y hurto de uso de vehículo;2019;19
11 Extremadura;13.4 Robo y hurto de uso de vehículo;2018;29
11 Extremadura;13.4 Robo y hurto de uso de vehículo;2017;24
11 Extremadura;13.4 Robo y hurto de uso de vehículo;2016;40
11 Extremadura;13.4 Robo y hurto de uso de vehículo;2015;42
11 Extremadura;13.4 Robo y hurto de uso de vehículo;2014;32
11 Extremadura;13.4 Robo y hurto de uso de vehículo;2013;32
11 Extremadura;13.5 Usurpación;2019;76
11 Extremadura;13.5 Usurpación;2018;71
11 Extremadura;13.5 Usurpación;2017;59
11 Extremadura;13.5 Usurpación;2016;43
11 Extremadura;13.5 Usurpación;2015;48
11 Extremadura;13.5 Usurpación;2014;68
11 Extremadura;13.5 Usurpación;2013;19
11 Extremadura;13.6 Defraudaciones;2019;490
11 Extremadura;13.6 Defraudaciones;2018;479
11 Extremadura;13.6 Defraudaciones;2017;492
11 Extremadura;13.6 Defraudaciones;2016;467
11 Extremadura;13.6 Defraudaciones;2015;302
11 Extremadura;13.6 Defraudaciones;2014;236
11 Extremadura;13.6 Defraudaciones;2013;200
11 Extremadura;13.6.1 Estafas;2019;367
11 Extremadura;13.6.1 Estafas;2018;345
11 Extremadura;13.6.1 Estafas;2017;365
11 Extremadura;13.6.1 Estafas;2016;290
11 Extremadura;13.6.1 Estafas;2015;197
11 Extremadura;13.6.1 Estafas;2014;158
11 Extremadura;13.6.1 Estafas;2013;126
11 Extremadura;13.6.2 BIS Apropiación indebida;2019;74
11 Extremadura;13.6.2 BIS Apropiación indebida;2018;83
11 Extremadura;13.6.2 BIS Apropiación indebida;2017;94
11 Extremadura;13.6.2 BIS Apropiación indebida;2016;131
11 Extremadura;13.6.2 BIS Apropiación indebida;2015;67
11 Extremadura;13.6.2 BIS Apropiación indebida;2014;59
11 Extremadura;13.6.2 BIS Apropiación indebida;2013;66
11 Extremadura;13.6.3 Defraudaciones de fluido eléctrico;2019;49
11 Extremadura;13.6.3 Defraudaciones de fluido eléctrico;2018;51
11 Extremadura;13.6.3 Defraudaciones de fluido eléctrico;2017;33
11 Extremadura;13.6.3 Defraudaciones de fluido eléctrico;2016;46
11 Extremadura;13.6.3 Defraudaciones de fluido eléctrico;2015;38
11 Extremadura;13.6.3 Defraudaciones de fluido eléctrico;2014;19
11 Extremadura;13.6.3 Defraudaciones de fluido eléctrico;2013;8
11 Extremadura;13.9 Daños;2019;185
11 Extremadura;13.9 Daños;2018;174
11 Extremadura;13.9 Daños;2017;220
11 Extremadura;13.9 Daños;2016;184
11 Extremadura;13.9 Daños;2015;148
11 Extremadura;13.9 Daños;2014;117
11 Extremadura;13.9 Daños;2013;107
11 Extremadura;13.14 Receptación y blanqueo de capitales;2019;40
11 Extremadura;13.14 Receptación y blanqueo de capitales;2018;82
11 Extremadura;13.14 Receptación y blanqueo de capitales;2017;49
11 Extremadura;13.14 Receptación y blanqueo de capitales;2016;77
11 Extremadura;13.14 Receptación y blanqueo de capitales;2015;104
11 Extremadura;13.14 Receptación y blanqueo de capitales;2014;60
11 Extremadura;13.14 Receptación y blanqueo de capitales;2013;46
11 Extremadura;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2019;34
11 Extremadura;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2018;48
11 Extremadura;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2017;44
11 Extremadura;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2016;68
11 Extremadura;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2015;44
11 Extremadura;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2014;42
11 Extremadura;13.99 Otros delitos contra el patrimonio y orden socioeconómico;2013;21
11 Extremadura;17 Contra la seguridad colectiva;2019;1.658
11 Extremadura;17 Contra la seguridad colectiva;2018;1.505
11 Extremadura;17 Contra la seguridad colectiva;2017;1.554
11 Extremadura;17 Contra la seguridad colectiva;2016;1.663
11 Extremadura;17 Contra la seguridad colectiva;2015;1.870
11 Extremadura;17 Contra la seguridad colectiva;2014;1.962
11 Extremadura;17 Contra la seguridad colectiva;2013;1.928
11 Extremadura;17.3 Contra la salud pública;2019;183
11 Extremadura;17.3 Contra la salud pública;2018;199
11 Extremadura;17.3 Contra la salud pública;2017;250
11 Extremadura;17.3 Contra la salud pública;2016;302
11 Extremadura;17.3 Contra la salud pública;2015;352
11 Extremadura;17.3 Contra la salud pública;2014;318
11 Extremadura;17.3 Contra la salud pública;2013;265
11 Extremadura;17.4 Contra la seguridad vial;2019;1.463
11 Extremadura;17.4 Contra la seguridad vial;2018;1.296
11 Extremadura;17.4 Contra la seguridad vial;2017;1.291
11 Extremadura;17.4 Contra la seguridad vial;2016;1.347
11 Extremadura;17.4 Contra la seguridad vial;2015;1.484
11 Extremadura;17.4 Contra la seguridad vial;2014;1.635
11 Extremadura;17.4 Contra la seguridad vial;2013;1.656
11 Extremadura;17.99 Otros delitos contra la seguridad colectiva;2019;12
11 Extremadura;17.99 Otros delitos contra la seguridad colectiva;2018;10
11 Extremadura;17.99 Otros delitos contra la seguridad colectiva;2017;13
11 Extremadura;17.99 Otros delitos contra la seguridad colectiva;2016;14
11 Extremadura;17.99 Otros delitos contra la seguridad colectiva;2015;34
11 Extremadura;17.99 Otros delitos contra la seguridad colectiva;2014;9
11 Extremadura;17.99 Otros delitos contra la seguridad colectiva;2013;7
11 Extremadura;18 Falsedades;2019;80
11 Extremadura;18 Falsedades;2018;115
11 Extremadura;18 Falsedades;2017;110
11 Extremadura;18 Falsedades;2016;95
11 Extremadura;18 Falsedades;2015;125
11 Extremadura;18 Falsedades;2014;118
11 Extremadura;18 Falsedades;2013;102
11 Extremadura;18.2 Falsedades documentales;2019;68
11 Extremadura;18.2 Falsedades documentales;2018;107
11 Extremadura;18.2 Falsedades documentales;2017;94
11 Extremadura;18.2 Falsedades documentales;2016;85
11 Extremadura;18.2 Falsedades documentales;2015;116
11 Extremadura;18.2 Falsedades documentales;2014;106
11 Extremadura;18.2 Falsedades documentales;2013;93
11 Extremadura;18.2.1 Falsificación documentos públicos;2019;49
11 Extremadura;18.2.1 Falsificación documentos públicos;2018;77
11 Extremadura;18.2.1 Falsificación documentos públicos;2017;81
11 Extremadura;18.2.1 Falsificación documentos públicos;2016;73
11 Extremadura;18.2.1 Falsificación documentos públicos;2015;104
11 Extremadura;18.2.1 Falsificación documentos públicos;2014;87
11 Extremadura;18.2.1 Falsificación documentos públicos;2013;79
11 Extremadura;18.2.2 Falsificación documentos privados;2019;13
11 Extremadura;18.2.2 Falsificación documentos privados;2018;25
11 Extremadura;18.2.2 Falsificación documentos privados;2017;13
11 Extremadura;18.2.2 Falsificación documentos privados;2016;12
11 Extremadura;18.2.2 Falsificación documentos privados;2015;12
11 Extremadura;18.2.2 Falsificación documentos privados;2014;17
11 Extremadura;18.2.2 Falsificación documentos privados;2013;10
11 Extremadura;18.2.3 Falsificación de certificados;2019;6
11 Extremadura;18.2.3 Falsificación de certificados;2018;5
11 Extremadura;18.2.3 Falsificación de certificados;2017;0
11 Extremadura;18.2.3 Falsificación de certificados;2016;0
11 Extremadura;18.2.3 Falsificación de certificados;2015;0
11 Extremadura;18.2.3 Falsificación de certificados;2014;2
11 Extremadura;18.2.3 Falsificación de certificados;2013;4
11 Extremadura;18.2.4 Falsificación de tarjetas de crédito;2019;0
11 Extremadura;18.2.4 Falsificación de tarjetas de crédito;2018;0
11 Extremadura;18.2.4 Falsificación de tarjetas de crédito;2017;0
11 Extremadura;18.2.4 Falsificación de tarjetas de crédito;2016;0
11 Extremadura;18.2.4 Falsificación de tarjetas de crédito;2015;0
11 Extremadura;18.2.4 Falsificación de tarjetas de crédito;2014;0
11 Extremadura;18.2.4 Falsificación de tarjetas de crédito;2013;0
11 Extremadura;18.99 Otros delitos de las falsedades;2019;12
11 Extremadura;18.99 Otros delitos de las falsedades;2018;8
11 Extremadura;18.99 Otros delitos de las falsedades;2017;16
11 Extremadura;18.99 Otros delitos de las falsedades;2016;10
11 Extremadura;18.99 Otros delitos de las falsedades;2015;9
11 Extremadura;18.99 Otros delitos de las falsedades;2014;12
11 Extremadura;18.99 Otros delitos de las falsedades;2013;9
11 Extremadura;19 Contra la Administración Pública;2019;20
11 Extremadura;19 Contra la Administración Pública;2018;30
11 Extremadura;19 Contra la Administración Pública;2017;43
11 Extremadura;19 Contra la Administración Pública;2016;49
11 Extremadura;19 Contra la Administración Pública;2015;68
11 Extremadura;19 Contra la Administración Pública;2014;48
11 Extremadura;19 Contra la Administración Pública;2013;46
11 Extremadura;19.3 Desobediencia y denegación auxilio;2019;18
11 Extremadura;19.3 Desobediencia y denegación auxilio;2018;25
11 Extremadura;19.3 Desobediencia y denegación auxilio;2017;31
11 Extremadura;19.3 Desobediencia y denegación auxilio;2016;40
11 Extremadura;19.3 Desobediencia y denegación auxilio;2015;52
11 Extremadura;19.3 Desobediencia y denegación auxilio;2014;33
11 Extremadura;19.3 Desobediencia y denegación auxilio;2013;33
11 Extremadura;19.99 Otros delitos contra la Administración Pública;2019;2
11 Extremadura;19.99 Otros delitos contra la Administración Pública;2018;5
11 Extremadura;19.99 Otros delitos contra la Administración Pública;2017;12
11 Extremadura;19.99 Otros delitos contra la Administración Pública;2016;9
11 Extremadura;19.99 Otros delitos contra la Administración Pública;2015;16
11 Extremadura;19.99 Otros delitos contra la Administración Pública;2014;15
11 Extremadura;19.99 Otros delitos contra la Administración Pública;2013;13
11 Extremadura;20 Contra la Administración de Justicia;2019;417
11 Extremadura;20 Contra la Administración de Justicia;2018;406
11 Extremadura;20 Contra la Administración de Justicia;2017;449
11 Extremadura;20 Contra la Administración de Justicia;2016;459
11 Extremadura;20 Contra la Administración de Justicia;2015;561
11 Extremadura;20 Contra la Administración de Justicia;2014;556
11 Extremadura;20 Contra la Administración de Justicia;2013;559
11 Extremadura;20.5 Acusación y denuncia falsa;2019;26
11 Extremadura;20.5 Acusación y denuncia falsa;2018;34
11 Extremadura;20.5 Acusación y denuncia falsa;2017;46
11 Extremadura;20.5 Acusación y denuncia falsa;2016;52
11 Extremadura;20.5 Acusación y denuncia falsa;2015;85
11 Extremadura;20.5 Acusación y denuncia falsa;2014;75
11 Extremadura;20.5 Acusación y denuncia falsa;2013;60
11 Extremadura;20.5.1 Acusación y denuncias falsas;2019;6
11 Extremadura;20.5.1 Acusación y denuncias falsas;2018;19
11 Extremadura;20.5.1 Acusación y denuncias falsas;2017;14
11 Extremadura;20.5.1 Acusación y denuncias falsas;2016;17
11 Extremadura;20.5.1 Acusación y denuncias falsas;2015;25
11 Extremadura;20.5.1 Acusación y denuncias falsas;2014;25
11 Extremadura;20.5.1 Acusación y denuncias falsas;2013;23
11 Extremadura;20.5.2 Simulación del delito;2019;20
11 Extremadura;20.5.2 Simulación del delito;2018;15
11 Extremadura;20.5.2 Simulación del delito;2017;32
11 Extremadura;20.5.2 Simulación del delito;2016;35
11 Extremadura;20.5.2 Simulación del delito;2015;60
11 Extremadura;20.5.2 Simulación del delito;2014;50
11 Extremadura;20.5.2 Simulación del delito;2013;37
11 Extremadura;20.8 Quebrantamiento de condena;2019;370
11 Extremadura;20.8 Quebrantamiento de condena;2018;347
11 Extremadura;20.8 Quebrantamiento de condena;2017;363
11 Extremadura;20.8 Quebrantamiento de condena;2016;377
11 Extremadura;20.8 Quebrantamiento de condena;2015;456
11 Extremadura;20.8 Quebrantamiento de condena;2014;435
11 Extremadura;20.8 Quebrantamiento de condena;2013;463
11 Extremadura;20.99 Otros delitos contra la Administración de Justicia;2019;21
11 Extremadura;20.99 Otros delitos contra la Administración de Justicia;2018;25
11 Extremadura;20.99 Otros delitos contra la Administración de Justicia;2017;40
11 Extremadura;20.99 Otros delitos contra la Administración de Justicia;2016;30
11 Extremadura;20.99 Otros delitos contra la Administración de Justicia;2015;20
11 Extremadura;20.99 Otros delitos contra la Administración de Justicia;2014;46
11 Extremadura;20.99 Otros delitos contra la Administración de Justicia;2013;36
11 Extremadura;22 Contra el orden público;2019;206
11 Extremadura;22 Contra el orden público;2018;282
11 Extremadura;22 Contra el orden público;2017;279
11 Extremadura;22 Contra el orden público;2016;323
11 Extremadura;22 Contra el orden público;2015;369
11 Extremadura;22 Contra el orden público;2014;366
11 Extremadura;22 Contra el orden público;2013;326
11 Extremadura;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2019;173
11 Extremadura;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2018;233
11 Extremadura;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2017;233
11 Extremadura;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2016;280
11 Extremadura;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2015;326
11 Extremadura;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2014;322
11 Extremadura;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;2013;298
11 Extremadura;22.2.1 Atentados contra la autoridad;2019;96
11 Extremadura;22.2.1 Atentados contra la autoridad;2018;133
11 Extremadura;22.2.1 Atentados contra la autoridad;2017;148
11 Extremadura;22.2.1 Atentados contra la autoridad;2016;181
11 Extremadura;22.2.1 Atentados contra la autoridad;2015;213
11 Extremadura;22.2.1 Atentados contra la autoridad;2014;187
11 Extremadura;22.2.1 Atentados contra la autoridad;2013;195
11 Extremadura;22.2.2 Resistencia y desobediencia;2019;77
11 Extremadura;22.2.2 Resistencia y desobediencia;2018;100
11 Extremadura;22.2.2 Resistencia y desobediencia;2017;85
11 Extremadura;22.2.2 Resistencia y desobediencia;2016;99
11 Extremadura;22.2.2 Resistencia y desobediencia;2015;113
11 Extremadura;22.2.2 Resistencia y desobediencia;2014;135
11 Extremadura;22.2.2 Resistencia y desobediencia;2013;103
11 Extremadura;22.99 Otros delitos contra el orden público;2019;33
11 Extremadura;22.99 Otros delitos contra el orden público;2018;49
11 Extremadura;22.99 Otros delitos contra el orden público;2017;46
11 Extremadura;22.99 Otros delitos contra el orden público;2016;43
11 Extremadura;22.99 Otros delitos contra el orden público;2015;43
11 Extremadura;22.99 Otros delitos contra el orden público;2014;44
11 Extremadura;22.99 Otros delitos contra el orden público;2013;28
11 Extremadura;R Resto de delitos;2019;150
11 Extremadura;R Resto de delitos;2018;165
11 Extremadura;R Resto de delitos;2017;171
11 Extremadura;R Resto de delitos;2016;151
11 Extremadura;R Resto de delitos;2015;192
11 Extremadura;R Resto de delitos;2014;140
11 Extremadura;R Resto de delitos;2013;135
12 Galicia;A Total Delitos;2019;19.919
12 Galicia;A Total Delitos;2018;17.038
12 Galicia;A Total Delitos;2017;19.947
12 Galicia;A Total Delitos;2016;18.469
12 Galicia;A Total Delitos;2015;16.079
12 Galicia;A Total Delitos;2014;15.549
12 Galicia;A Total Delitos;2013;15.386
12 Galicia;1 Homicidio y sus formas;2019;62
12 Galicia;1 Homicidio y sus formas;2018;48
12 Galicia;1 Homicidio y sus formas;2017;67
12 Galicia;1 Homicidio y sus formas;2016;76
12 Galicia;1 Homicidio y sus formas;2015;82
12 Galicia;1 Homicidio y sus formas;2014;99
12 Galicia;1 Homicidio y sus formas;2013;83
12 Galicia;1.1 Homicidio;2019;11
12 Galicia;1.1 Homicidio;2018;12
12 Galicia;1.1 Homicidio;2017;19
12 Galicia;1.1 Homicidio;2016;17
12 Galicia;1.1 Homicidio;2015;10
12 Galicia;1.1 Homicidio;2014;25
12 Galicia;1.1 Homicidio;2013;14
12 Galicia;1.2 Asesinato;2019;12
12 Galicia;1.2 Asesinato;2018;6
